name,union_share,union_high,union_low,afd_share,afd_high,afd_low,spd_share,spd_high,spd_low,green_share,green_high,green_low,linke_share,linke_high,linke_low,other_share,other_high,other_low,fdp_share,fdp_high,fdp_low,bsw_share,bsw_high,bsw_low,fw_share,fw_high,fw_low
SH,25.0,30.0,21.0,16.0,20.0,14.0,22.0,26.0,18.0,20.0,24.0,17.0,7.0,9.0,4.0,3.0,6.0,1.0,2.0,3.0,1.0,3.0,5.0,2.0,1.0,2.0,1.0
HH,20.0,24.0,17.0,12.0,15.0,10.0,25.0,29.0,20.0,20.0,24.0,17.0,7.0,10.0,5.0,6.0,9.0,3.0,5.0,7.0,3.0,4.0,5.0,2.0,1.0,1.0,0.0
NI,33.0,37.0,29.0,14.0,16.0,12.0,21.0,24.0,18.0,13.0,16.0,11.0,7.0,9.0,5.0,5.0,7.0,2.0,3.0,4.0,2.0,4.0,5.0,2.0,1.0,2.0,0.0
HB,20.0,26.0,15.0,12.0,16.0,9.0,25.0,32.0,18.0,15.0,21.0,10.0,13.0,19.0,8.0,6.0,13.0,2.0,4.0,7.0,2.0,4.0,6.0,2.0,0.0,1.0,0.0
NW,30.0,33.0,27.0,16.0,18.0,14.0,19.0,22.0,17.0,14.0,15.0,12.0,7.0,9.0,6.0,4.0,6.0,3.0,5.0,6.0,4.0,4.0,5.0,3.0,1.0,1.0,1.0
HE,29.0,33.0,26.0,17.0,19.0,15.0,18.0,21.0,15.0,15.0,18.0,13.0,7.0,9.0,6.0,4.0,6.0,2.0,5.0,7.0,4.0,4.0,5.0,3.0,1.0,2.0,1.0
RP,33.0,38.0,29.0,18.0,20.0,15.0,17.0,20.0,14.0,10.0,12.0,7.0,7.0,9.0,6.0,4.0,7.0,2.0,5.0,7.0,3.0,4.0,6.0,3.0,2.0,3.0,1.0
BW,31.0,35.0,28.0,21.0,24.0,19.0,11.0,13.0,9.0,14.0,17.0,12.0,5.0,7.0,4.0,4.0,7.0,3.0,6.0,8.0,5.0,4.0,5.0,3.0,2.0,3.0,1.0
BY,38.0,42.0,34.0,19.0,21.0,16.0,9.0,11.0,7.0,11.0,13.0,9.0,6.0,8.0,5.0,5.0,7.0,3.0,5.0,6.0,3.0,6.0,7.0,4.0,2.0,3.0,2.0
SL,29.0,37.0,22.0,19.0,24.0,15.0,23.0,31.0,17.0,4.0,7.0,2.0,11.0,17.0,7.0,5.0,10.0,2.0,3.0,5.0,1.0,3.0,6.0,1.0,1.0,2.0,0.0
BE,21.0,25.0,18.0,17.0,20.0,14.0,16.0,19.0,13.0,16.0,19.0,13.0,14.0,17.0,11.0,6.0,9.0,3.0,5.0,7.0,4.0,5.0,7.0,4.0,0.0,1.0,0.0
BB,20.0,24.0,16.0,29.0,33.0,25.0,17.0,20.0,13.0,8.0,10.0,6.0,7.0,9.0,5.0,6.0,10.0,3.0,4.0,6.0,2.0,8.0,11.0,6.0,3.0,4.0,1.0
MV,21.0,25.0,17.0,30.0,34.0,26.0,14.0,18.0,11.0,8.0,11.0,6.0,12.0,16.0,9.0,5.0,8.0,2.0,3.0,4.0,2.0,6.0,9.0,4.0,1.0,2.0,0.0
SN,21.0,25.0,18.0,37.0,41.0,33.0,10.0,12.0,8.0,7.0,9.0,5.0,8.0,11.0,6.0,4.0,7.0,2.0,2.0,3.0,1.0,8.0,10.0,6.0,2.0,4.0,1.0
ST,21.0,25.0,17.0,33.0,37.0,28.0,12.0,15.0,9.0,8.0,11.0,6.0,13.0,16.0,10.0,4.0,8.0,2.0,3.0,4.0,2.0,6.0,8.0,4.0,1.0,2.0,1.0
TH,22.0,27.0,18.0,36.0,41.0,32.0,11.0,14.0,8.0,6.0,8.0,4.0,10.0,13.0,8.0,4.0,7.0,1.0,3.0,5.0,2.0,7.0,9.0,5.0,1.0,2.0,1.0
