name,union_share,union_high,union_low,afd_share,afd_high,afd_low,spd_share,spd_high,spd_low,green_share,green_high,green_low,linke_share,linke_high,linke_low,other_share,other_high,other_low,fdp_share,fdp_high,fdp_low,bsw_share,bsw_high,bsw_low,fw_share,fw_high,fw_low
SH,25,30,21,16,20,14,22,26,18,20,24,17,7,9,4,3,6,1,2,3,1,3,5,2,1,2,1
HH,20,24,17,12,15,10,25,29,20,20,24,17,7,10,5,6,9,3,5,7,3,4,5,2,1,1,0
NI,33,37,29,14,16,12,21,24,18,13,16,11,7,9,5,5,7,2,3,4,2,4,5,2,1,2,0
HB,20,26,15,12,16,9,25,32,18,15,21,10,13,19,8,6,13,2,4,7,2,4,6,2,0,1,0
NW,30,33,27,16,18,14,19,22,17,14,15,12,7,9,6,4,6,3,5,6,4,4,5,3,1,1,1
HE,29,33,26,17,19,15,18,21,15,15,18,13,7,9,6,4,6,2,5,7,4,4,5,3,1,2,1
RP,33,38,29,18,20,15,17,20,14,10,12,7,7,9,6,4,7,2,5,7,3,4,6,3,2,3,1
BW,31,35,28,21,24,19,11,13,9,14,17,12,5,7,4,4,7,3,6,8,5,4,5,3,2,3,1
BY,38,42,34,19,21,16,9,11,7,11,13,9,6,8,5,5,7,3,5,6,3,6,7,4,2,3,2
SL,29,37,22,19,24,15,23,31,17,4,7,2,11,17,7,5,10,2,3,5,1,3,6,1,1,2,0
BE,21,25,18,17,20,14,16,19,13,16,19,13,14,17,11,6,9,3,5,7,4,5,7,4,0,1,0
BB,20,24,16,29,33,25,17,20,13,8,10,6,7,9,5,6,10,3,4,6,2,8,11,6,3,4,1
MV,21,25,17,30,34,26,14,18,11,8,11,6,12,16,9,5,8,2,3,4,2,6,9,4,1,2,0
SN,21,25,18,37,41,33,10,12,8,7,9,5,8,11,6,4,7,2,2,3,1,8,10,6,2,4,1
ST,21,25,17,33,37,28,12,15,9,8,11,6,13,16,10,4,8,2,3,4,2,6,8,4,1,2,1
TH,22,27,18,36,41,32,11,14,8,6,8,4,10,13,8,4,7,1,3,5,2,7,9,5,1,2,1
Bund,29.9,,,19.7,,,15.6,,,12.7,,,7.5,,,4.2,,,4.5,,,4.6,,,1.4,,
